interview_experiences,metadata.url,metadata.scraped_at,metadata.source,basic_info.title,basic_info.difficulty,basic_info.accuracy,basic_info.submissions,basic_info.avg_time,content.problem,complexity.time_complexity,complexity.space_complexity,tags.company_tags,tags.topic_tags
[],https://www.geeksforgeeks.org/problems/minimum-depth-of-a-binary-tree/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:11:06.801794,GeeksforGeeks,Minimum Depth of a Binary Tree,Easy,42.09%,77K+,Not available,"Given a binary tree, find its minimum depth.
Examples:
Input: root = [1, 3, 2, 4]
Output: 2
Explanation: Minimum depth is between nodes 1 and 2 since minimum depth is defined as the number of nodes along the shortest path from the root node down to the nearest leaf node.
Input: root = [10, 20, 30, N, 40, N, 60, N, N, 2]
Output: 3
Explanation: Minimum depth is between nodes 10,20 and 40.
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(height of the tree)
Constraints:
1 ≤ number of nodes ≤ 105",Not specified,Not specified,"['Amazon', 'Microsoft', 'Facebook']","['Tree', 'Data Structures']"
"[{'title': 'Hike Interview Experience Set 5', 'url': 'https://www.geeksforgeeks.org/hike-interview-experience-set-5/', 'content_summary': ""Round I 1.Implement expiry cache system : every page in cache have id and expiry time (TTL of few seconds). After page expires it behaves as free space and can be used for new pages/replacement. Had a long discussion on everything. Round II very boring round 1. Nodes at given distance in binary tree 2.Check Mirror in N-ary tree 3. Largest Sum Contiguous Subarray Round III very boring round 1.Level order traversal Line by Line 2. ZigZag traversal of tree 3. Search in a Rotated Array 4.Value equal to index value finally something new.. 5. given a sorted array say A : (-4,-2,0,1,4,6,8,10). There is a function f(x) = a*x^2 + b*x + c , apply this function on A where x is any ith element from array A and a,b,c belongs to set of real numbers. Will f(A) will be sorted, if not then sort it in O(n). It is very easy if you still remember concepts of quadratic equation from maths. I did not remember so he helped me. Logic is that any quadratic equation is represented by parabola on graph and graph has minimum value at dy/dx = 0,i.e, 2*a*x + b = 0. Both sides of this point graph keeps increasing/decreasing to the infinity depending upon value of a. Calculate value of x = -b/(2*a). find it in sorted array or find its ceiling in log n. starting from this point to both ends, perform merge sort. Round IV 1. implement LRU cache 2. Implement following. There are three type of request : i) www.someurl.com/conn_id=?&timeout=? -: for this conn_id you will wait for timeout sec and after that return reponse, in meantime you can get some more requests of any one of three types ii) www.someurl.com/stat/ -: return all id waiting to timeout along with their remaining timeout interval ii) www.someurl.com/kill/conn_id=? -: end wait timeout of this conn_id and return response for this conn_id I gave a solution with heap. He asked how to handle case when a request is waiting for timout and new request came in meantime. How to do server side scalability in this case. 3. He asked about current work and technologies I am working upon. I said Java, Spring MVC for backend and html,css, javascript for front end and suddenly he asked what is difference between Java and javascript. Could not figure out at that time. Javascript is also an object oriented language an can be used at server side like node js. Still there are lot of differences.\n  Related Practice Problems\nTwo Mirror Trees\nLevel order traversal Line by Line\nNodes at given distance in binary tree\nLRU Cache\nSearch in a Rotated Array\nLevel order traversal in spiral form\nKadane's Algorithm\nAll Practice Problems for Hike !\n\nComment\nMore info\nCampus Training Program\nNext Article\nHike Interview Experience | Set 5""}]",https://www.geeksforgeeks.org/problems/level-order-traversal-line-by-line/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:11:17.055649,GeeksforGeeks,Level Order Line by Line,Easy,53.78%,83K+,20m,"Given a Binary Tree, your task is to find its level order traversal.
Note: The driver code prints the levels '$' separated.
Examples:
Input: root = [1, 4, N, 4, 2]
1
/
4
/   \
4    2
Output:1 $ 4 $ 4 2 $
Explanation: At first level 1 present then at second level 4 present then at third level 4 2 present.
Input: root = [10, 20, 30, 40, 60]
10
/    \
20      30
/     \
40     60
Output: 10 $ 20 30 $ 40 60 $
Explanation: At first level 10 present then at second level 20 30 present then at third level 40 60 present.
Input: root = [10. 20, 30, 40, 70]
10
/    \
20      30
/     \
40     70
Output: 10 $ 20 30 $ 40 70 $
Explanation: At first level 10 present then at second level 20 30 present then at third level 40 70 present.
Constraints:
1 <= number of nodes <= 1000
0 <= node->data <= 100",O(n),O(n),"['Morgan Stanley', 'Amazon', 'Microsoft', 'Snapdeal', 'Hike']","['Tree', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/reverse-an-array/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:11:29.180627,GeeksforGeeks,Reverse an Array,Easy,55.32%,189K+,5m,"You are given an array of integers arr[]. Your task is to reverse the given array.
Note: Modify the array in place.
Examples:
Input: arr = [1, 4, 3, 2, 6, 5]
Output: [5, 6, 2, 3, 4, 1]
Explanation: The elements of the array are 1 4 3 2 6 5. After reversing the array, the first element goes to the last position, the second element goes to the second last position and so on. Hence, the answer is 5 6 2 3 4 1.
Input: arr = [4, 5, 2]
Output: [2, 5, 4]
Explanation: The elements of the array are 4 5 2. The reversed array will be 2 5 4.
Input: arr = [1]
Output: [1]
Explanation: The array has only single element, hence the reversed array is same as the original.
Constraints:
1<=arr.size()<=105
0<=arr[i]<=105",O(n),O(1),"['Bloomberg', 'Facebook', 'TCS', 'Adobe', 'Google', 'Infosys', 'Capgemini', 'Morgan Stanley', 'Amazon', 'Microsoft', 'Apple', 'Yahoo', 'PayPal', 'Uber']","['Arrays', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/buy-stock-2/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:11:39.452923,GeeksforGeeks,Stock Buy and Sell – Max one Transaction Allowed,Easy,49.33%,92K+,10m,"Given an array prices[] of length n, representing the prices of the stocks on different days. The task is to find the maximum profit possible by buying and selling the stocks on different days when at most one transaction is allowed. Here one transaction means 1 buy + 1 Sell. If it is not possible to make a profit then return 0.
Note: Stock must be bought before being sold.
Examples:
Input: prices[] = [7, 10, 1, 3, 6, 9, 2]
Output: 8
Explanation: You can buy the stock on day 2 at price = 1 and sell it on day 5 at price = 9. Hence, the profit is 8.
Input: prices[] = [7, 6, 4, 3, 1]
Output: 0
Explanation: Here the prices are in decreasing order, hence if we buy any day then we cannot sell it at a greater price. Hence, the answer is 0.
Input: prices[] = [1, 3, 6, 9, 11]
Output: 10
Explanation: Since the array is sorted in increasing order, we can make maximum profit by buying at price[0] and selling at price[n-1].
Constraint:
1 <= prices.size()<= 105
0 <= prices[i] <=104",O(n),O(1),"['Bloomberg', 'Facebook', 'Intel', 'Infosys', 'Zoho', 'Morgan Stanley', 'Amazon', 'Microsoft', 'Samsung', 'Yahoo', 'PayPal', 'Nvidia', 'Oracle', 'Visa', 'Walmart', 'Goldman Sachs', 'TCS', 'Adobe', 'Google', 'IBM', 'Accenture', 'Apple', 'Uber']","['Greedy', 'Arrays']"
"[{'title': 'Paytm Interview Experience Set 8 Hiring Drive For Backend Engineer', 'url': 'https://www.geeksforgeeks.org/paytm-interview-experience-set-8-hiring-drive-for-backend-engineer/', 'content_summary': 'Paytm Hiring Drive for Backend Engineer. The selection process was completed on the same day.\nRound 1 ( Written ): It was a technical written round with 20 questions out of which 2 were coding questions. Rest 18 was objective type mainly C, SQL, and Algo.\nWrite code to create a mirror image of a tree.\nGiven an array of arrival and departure times of guests, find a minimum no of rooms required to accommodate guests at any point of time.\nRound 2 :\nWAP to search a number in a row-wise - column-wise sorted matrix.\nFlatten a linked list.\nDiscussions around Binary Search and Ternary Search.\nDiscussed objective questions of a written round.\nRound 3 :\nHow will you store a series of mobile nos in memory efficiently (less space). e.g mobile nos like 999900001,999900003,999900005,999910006,999910007 ... are there. DS should be designed such that retrieval is not inefficient.\nStream of Access logs is given to you with user id, page id, and date. Design Data structure to find n recent unique visitors and pages they visited.\nThe current company projects discussions.\nI thank GFG a lot for helping me in my preparation, finally, I was selected\nAll Practice Problems for Paytm !\nRelated Practice Problems\nMirror Tree\nSearch in a matrix\n\nComment\nMore info\nCampus Training Program\nNext Article\nPaytm Interview Experience | Set 8 (Hiring Drive for Backend Engineer)'}]",https://www.geeksforgeeks.org/problems/flattening-a-linked-list--170645/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:11:49.902065,GeeksforGeeks,Flattening a Linked List,Medium,50.24%,22K+,Not available,"Given a Linked List of size N, where every node represents a sub-linked-list and contains two pointers:
(i) a next pointer to the next node,
(ii) a bottom pointer to a linked list where this node is head.
Each of the sub-linked-list is in sorted order.
Flatten the Link List such that all the nodes appear in a single level while maintaining the sorted order.
Note: The flattened list will be printed using the bottom pointer instead of next pointer.
Example 1:
Input:
5 -> 10 -> 19 -> 28
| | | |
7 20 22 35
| | |
8 50 40
| |
30 45
Output:  5-> 7-> 8- > 10 -> 19-> 20->
22-> 28-> 30-> 35-> 40-> 45-> 50.
Explanation:
The resultant linked lists has every
node in a single level.
(Note: | represents the bottom pointer.)
Example 2:
Input:
5 -> 10 -> 19 -> 28
| |
7 22
| |
8 50
|
30
Output: 5->7->8->10->19->22->28->30->50
Explanation:
The resultant linked lists has every
node in a single level.
(Note: | represents the bottom pointer.)
Your Task:
You do not need to read input or print anything. Complete the function flatten() that takes the head of the linked list as input parameter and returns the head of flattened link list.
Expected Time Complexity: O(N*M)
Expected Auxiliary Space: O(1)
Constraints:
0 <= N <= 50
1 <= Mi <= 20
1 <= Element of linked list <= 103",Not specified,Not specified,"['Paytm', 'Flipkart', 'Amazon', 'Microsoft', 'Snapdeal', '24*7 Innovation Labs', 'Payu', 'Visa', 'Goldman Sachs', 'Qualcomm', 'Drishti-Soft']","['Linked List', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/remove-duplicate-element-from-sorted-linked-list/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:12:07.529017,GeeksforGeeks,Remove Duplicates from a Sorted Linked List,Easy,49.37%,313K+,20m,"Given a singly linked list. The task is to remove duplicates (nodes with duplicate values) from the given list (if it exists).
Note: Try not to use extra space. The nodes are arranged in a sorted way.
Examples:
Input:
LinkedList: 2->2->4->5
Output: 2 -> 4 -> 5
Explanation: In the given linked list 2 -> 2 -> 4 -> 5, only 2 occurs more than 1 time. So we need to remove it once.
Input:
LinkedList: 2->2->2->2->2
Output: 2
Explanation: In the given linked list 2 -> 2 -> 2 -> 2, 2 is the only element and is repeated 5 times. So we need to remove any four 2.
Expected Time Complexity : O(n)
Expected Space Complexity: O(1)
Constraints:
1 <= Number of nodes, data of nodes <= 105",Not specified,Not specified,"['Microsoft', 'OYO Rooms', 'Oracle', 'Visa', 'Adobe', 'Myntra']","['Linked List', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/flatten-binary-tree-to-linked-list/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:12:17.928671,GeeksforGeeks,Flatten binary tree to linked list,Medium,75.82%,43K+,Not available,"Given the root of a binary tree, flatten the tree into a ""Linked list"":
The ""linked list"" should use the same Node class where the right child pointer points to the next node in the list and the left child pointer is always null.
The ""linked list"" should be in the same order as a pre-order traversal of the binary tree.
Examples:
Input:
1
/ \
2 5
/ \ \
3 4 6
Output : 1 2 3 4 5 6
Explanation: After flattening, the tree looks like this -
1
\
2
\
3
\
4
\
5
\
6
Here, left of each node points to NULL and right contains the next node in preorder.The inorder traversal of this flattened tree is 1 2 3 4 5 6.
Input :
1
/ \
3 4
/
2
\
5
Output :
1 3 4 2 5
Explanation : After flattening, the tree looks like this -
1
\
3
\
4
\
2
\
5
Here, left of each node points to NULL and right contains the next node in preorder.The inorder traversal of this flattened tree is 1 3 4 2 5.
Expected Time Complexity: O(n)
Expected Space Complexity: O(1)
Constraints :
1<= number of nodes in binary tree <= 105
1<= data of nodes <= 105",Not specified,Not specified,['Microsoft'],"['Linked List', 'Tree', 'Data Structures']"
"[{'title': 'Accolite Interview Experience Set 7 On Campus', 'url': 'https://www.geeksforgeeks.org/accolite-interview-experience-set-7-on-campus/', 'content_summary': 'Accolite visited our campus for full time Software development. First round: MCQ round consists of 30 questions 30 minutes. Questions on C aptitude, four to five general aptitude, two puzzle based aptitude questions. Around 120 wrote test, 10 were selected for next round. Second round: It took around 1 and half hour two people were there. All rounds were purely technical. Questions are, Tell me about yourself. Implementation of queue using two stacks and some modification on that. Finding pair in a given array such that sum is equal to given value. Then he modified for negative numbers. Check if a given tree is binary search tree or not with full code. Child sum problem on binary tree told to write code also. One puzzle related to coin and two rooms. Third round: Only one question in this round. I have to design a dictionary of words such that if any word is entered then it should give meaning for all anagrams for that word. We discussed for one hour. First I told about using try data structure to make dictionary and generate all anagrams of that word then searching each words. But he is not satisfied. Then I came up with some modification in structure of try data structure still not satisfied. Then I come up with multilevel hashing Technique. He somewhat satisfied. Fourth round: It was final round and only two people were selected for this. Puzzle: There will be 17 buckets and some 2197(don’t remember exact number) apples. You have to put these apples in buckets such that if I ask any number of apples then just give any number of buckets such that apples in those buckets should equal to that value. Hint, arranged as bits arranged in binary representation of numbers. Finding loop in a linked list. He first asked you already know this question I told yes sir. Then he asked will it work if by changing fast pointer and slow pointer with difference of 3, 4, 5 nodes. Addition of two linked lists with full code. Numbers are in reverse order and all border conditions should be considered like, lengths are not equal. First he told to write for positive numbers I wrote using recursion. Then he told to write negative numbers. We both were told to wait outside. After few minutes they told only I am selected. Thanks geeksforgeeks.\nRelated Practice Problems\nSum of two numbers represented as arrays\nAdd two numbers represented by linked lists\nCheck for BST\nCombination Sum - Part 2\nAll Practice Problems for Accolite !\n\nComment\nMore info\nCampus Training Program\nNext Article\nAccolite Interview Experience | Set 7 (On-Campus)'}]",https://www.geeksforgeeks.org/problems/add-two-numbers-represented-by-linked-lists/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:12:28.710618,GeeksforGeeks,Add Number Linked Lists,Medium,34.52%,338K+,30m,"Given the head of two singly linked lists num1 and num2 representing two non-negative integers. The task is to return the head of the linked list representing the sum of these two numbers.
For example, num1 represented by the linked list : 1 -> 9 -> 0, similarly num2 represented by the linked list: 2 -> 5. Sum of these two numbers is represented by 2 -> 1 -> 5.
Note: There can be leading zeros in the input lists, but there should not be any leading zeros in the output list.
Examples:
Input: num1 = 4 - > 5, num2 = 3 -> 4 -> 5
Output: 3 -> 9 -> 0
Explanation: Given numbers are 45 and 345. There sum is 390.
Input: num1 = 0 -> 0 -> 6 -> 3, num2 = 0 -> 7
Output: 7 -> 0
Explanation: Given numbers are 63 and 7. There sum is 70.
Constraints:
1 <= size of both linked lists <= 106
0 <= elements of both linked lists <= 9",O(n + m),"O(max(n, m))","['Flipkart', 'Morgan Stanley', 'Accolite', 'Amazon', 'Microsoft', 'Snapdeal', 'MakeMyTrip', 'Qualcomm']","['Linked List', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/minimum-element-in-a-sorted-and-rotated-array3611/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:13:03.463126,GeeksforGeeks,Sorted and Rotated Minimum,Easy,40.57%,152K+,Not available,"A sorted array of distinct elements arr[] is rotated at some unknown point, the task is to find the minimum element in it.
Examples:
Input: arr[] = [5, 6, 1, 2, 3, 4]
Output: 1
Explanation: 1 is the minimum element in the array.
Input: arr[] = [3, 1, 2]
Output: 1
Explanation: Here 1 is the minimum element.
Input: arr[] = [4, 2, 3]
Output: 2
Explanation: Here 2 is the minimum element.
Constraints:
1 ≤ arr.size() ≤ 106
1 ≤ arr[i] ≤ 109",O(log n),O(1),"['Morgan Stanley', 'Amazon', 'Microsoft', 'Samsung', 'Snapdeal', 'Adobe', 'Times Internet']","['Searching', 'Algorithms']"
"[{'title': 'Intuit Interview Experience Set 12', 'url': 'https://www.geeksforgeeks.org/intuit-interview-experience-set-12/', 'content_summary': 'Technical Round-1 \n1. Maximum Subarray Sum problem: Different approaches and code \nArticle Link: https://www.geeksforgeeks.org/largest-sum-contiguous-subarray/\nPractice Link: https://www.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/1\n2. Given a 2-D char array, with random alphabets, find the word “INTUIT”, s/t “N” lies in the neighborhood of I, T lies in the neighborhood of N, and so on. Neighborhood meaning any of the eight squares around the middle square. Approach and code using recursion. \n3. Linked List: Pairwise reverse the linked List, eg : 1->2->3->4->NULL to 2->1->4->3->NULL. Code with proper syntax. Dry Run \nArticle Link: https://www.geeksforgeeks.org/pairwise-swap-elements-of-a-given-linked-list/\nPractice Link: https://www.geeksforgeeks.org/problems/pairwise-swap-elements-of-a-linked-list-by-swapping-data/1\nExample Output-based Question. \nint d;\nchar * p1 = malloc(100);\nprintf(“%s %d %s”, p1, d, p2, p3, p4);\n\nAnd so on… \n\n\nTechnical Round-2 \n1. Introduce yourself. \n2. General discussions on the languages: C, C++, Java \n3. Questions related to Pointers: Output based questions – \n4. Memory Leak and a program where this occurs. \n5. General OS concepts \n6. Given 2 processes P1, and P2. And P1 allocates a pointer ptr1 with an address FH1231, discuss if P2 can access this. \n\nTechnical Round-3 \n1. Given 2 strings A and B, determine if B is a rotation of A. Code and logic.\nArticle Link: https://www.geeksforgeeks.org/a-program-to-check-if-strings-are-rotations-of-each-other/\nPractice Link: https://www.geeksforgeeks.org/problems/check-if-strings-are-rotations-of-each-other-or-not-1587115620/1\n2. Given n consecutive numbers starting from 1, determine the one missing number. Different approaches. \nArticle Link: https://www.geeksforgeeks.org/find-the-missing-number/\nPractice Link: https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1\n3. OOPS concepts eg: Comparison of objects, Everything about Inheritance, Static and Dynamic Binding. \n\n\n\n \n\n\n \n\n \n\n\nAll Practice Problems for Intuit ! \n\n\n Related Practice ProblemsMaximum Sub ArrayPairwise swap elements of a linked list by swapping dataMissing number in array\n\n \nComment\nMore info\nCampus Training Program\nNext Article\nIntuit Interview Experience | Set 12'}]",https://www.geeksforgeeks.org/problems/pairwise-swap-elements-of-a-linked-list-by-swapping-data/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:13:14.828376,GeeksforGeeks,Pairwise swap elements of a linked list,Easy,52.06%,129K+,20m,"Given a singly linked list. The task is to swap elements in the linked list pairwise. For example, if the input list is 1 2 3 4, the resulting list after swaps will be 2 1 4 3.
Note: You need to swap the nodes, not only the data. If only data is swapped then the driver code will print -1.
Examples:
Input: LinkedList: 1->2->2->4->5->6->7->8
Output: 2->1->4->2->6->5->8->7
Explanation: After swapping each pair considering (1,2), (2, 4), (5, 6).. so on as pairs, we get 2, 1, 4, 2, 6, 5, 8, 7 as a new linked list.
Input: LinkedList: 1->3->4->7->9->10->1
Output: 3->1->7->4->10->9->1
Explanation: After swapping each pair considering (1,3), (4, 7), (9, 10).. so on as pairs, we get 3, 1, 7, 4, 10, 9, 1 as a new linked list.
Constraints:
1 ≤ size of linked list ≤ 106
1 ≤ elements of linked list ≤ 106",O(n),O(1),"['Moonfrog Labs', 'Amazon', 'Microsoft', 'Intuit']","['Linked List', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/earliest-common-slot/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:13:28.671144,GeeksforGeeks,Earliest Common Slot,Medium,34.84%,624+,Not available,"You are given two lists of availability time slots, slots1 and slots2, for two people. Each slot is represented as [start, end], and it is gurranted that within each list, no two slots overlap (i.e., for any two intervals, either start1>end2 or start2>end1). Given a metting duration d, return the earliest common time slot of length of least d. If no such slot exits, return an empty array.
Examples:
Input: slots1 = [[10,50], [60,120], [140,210]], slots2 = [[0,15], [60,70]], d = 8
Output: [60,68]
Explanation: The only overlap is [60,70] (10 minutes), which is enough for an 8-minute meeting, so answer is [60,68]
Input: slots1 = [[10,50], [60,120], [140,210]], slots2 = [[0,15], [60,70]], d = 12
Output: []
Explanation: The only overlap is [60, 70] (10 minutes), but 12 minutes are needed, so no valid slot exists.
Constraints:
1 ≤ slots1.size(), slots2.size()  ≤ 105
-109 ≤ slots1[i], slots2[i] ≤ 109
1 ≤ d ≤ 106","O(max(n log(n), m log(m)))",O(1),"['Amazon', 'Microsoft', 'PayPal', 'Google', 'Uber']","['Sorting', 'two-pointer-algorithm', 'Arrays', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/interval-list-intersections/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:13:39.870481,GeeksforGeeks,Interval List Intersections,Medium,44.47%,517+,Not available,"Given two 2-D arrays which represent intervals. Each 2-D array represents a list of intervals. Each list of intervals is disjoint and sorted in increasing order. Find the intersection or set of ranges that are common to both the lists.
Note: Disjoint means no element is common in a list
Examples:
Input: a[][] = [[0, 4], [5, 10], [13, 20], [24, 25]], b[][] = [[1, 5], [8, 12], [15, 24], [25, 26]]
Output: [[1, 4], [5, 5], [8, 10], [15, 20], [24, 24], [25, 25]]
Explanation: [1, 4] lies completely within the range [0, 4] and [1, 5]. Hence, [1, 4] is the desired intersection. Similarly, [24, 24] lies completely within two intervals [24, 25] and [15, 24]
Input: a[][] = [[0, 2], [5, 10], [12, 22], [24, 25]], b[][] = [[1, 4], [9, 12], [15, 24], [25, 26]]
Output: [[1, 2], [9, 10], [12, 12], [15, 22], [24, 24], [25, 25]]
Explanation: [1, 2] lies completely within the range [0, 2] and [1, 4]. Hence, [1, 2] is the desired intersection. Similarly, [12, 12] lies completely within two intervals [12, 22] and [9, 12]
Constraints
1 ≤ a.size(), b.size() ≤ 105
-109 ≤ a[i], b[i] ≤ 109",O(n + m),O(1),"['Bloomberg', 'Amazon', 'Microsoft', 'Google', 'Uber']","['two-pointer-algorithm', 'Arrays', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/minimum-spanning-tree-kruskals-algorithm/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:13:50.931755,GeeksforGeeks,Minimum Spanning Tree - Kruskal's Algorithm,Medium,62.8%,4K+,Not available,"Given a weighted, undirected, and connected graph with V vertices and E edges, the task is to find the sum of the weights of the edges in the Minimum Spanning Tree (MST) of the graph using Kruskal's Algorithm. The graph is represented as an edge list edges[][], where edges[i] = [u, v, w] denotes an undirected edge between u and v with weight w.
Input: V = 3, E = 3, edges[][] = [[0, 1, 5], [1, 2, 3], [0, 2, 1]]
Output: 4
Explanation:
The Spanning Tree resulting in a weight of 4 is shown above.
Input: V = 2, E = 1, edges = [[0, 1, 5]]
Output: 5
Explanation: Only one Spanning Tree is possible which has a weight of 5.
Constraints:
2 ≤ V ≤ 1000
V-1 ≤ E ≤ (V*(V-1))/2
1 ≤ w ≤ 1000
The graph is connected and doesn't contain self-loops & multiple edges.",O(E * log(E)),O(V + E),"['Cisco', 'Amazon', 'Microsoft', 'Samsung', 'Flipkart']","['Greedy', 'Disjoint Set', 'Graph', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/total-hamming-distance/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:14:01.840134,GeeksforGeeks,Total Hamming Distance,Medium,56.04%,637+,Not available,"Given an integer array arr[], return the sum of Hamming distances between all the pairs of the integers in arr.
Note: The answer is guaranteed to fit within a 32-bit integer.
Examples:
Input: arr[] = [1, 14]
Output: 4
Explanation: Binary representations of 1 is 0001, 14 is 1110. The answer will be:
HammingDistance(1, 14) = 4.
Input: arr[] = [4, 14, 4, 14]
Output: 8
Explanation: Binary representations of 4 is 0100, 14 is 1110. The answer will be:
HammingDistance(4, 14) + HammingDistance(4, 4) + HammingDistance(4, 14) + HammingDistance(14, 4) + HammingDistance(14, 14) + HammingDistance(4, 14) = 2 + 0 + 2 + 2 + 0 + 2 = 8.
Constraints:
2 ≤ arr.size() ≤ 104
1 ≤ arr[i] ≤ 109",O(n),O(1),['Microsoft'],"['Bit Magic', 'Data Structures', 'Algorithms', 'Arrays']"
[],https://www.geeksforgeeks.org/problems/median-of-2-sorted-arrays-of-same-size/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:14:12.715527,GeeksforGeeks,Median of 2 Sorted Arrays of Same Size,Hard,53.15%,3K+,35m,"Given two sorted arrays a[] and b[] of equal size, find and return the median of the combined array after merging them into a single sorted array.
Examples:
Input: a[] = [-5, 3, 6, 12, 15], b[] = [-12, -10, -6, -3, 4]
Output: 0
Explanation: The merged array is [-12, -10, -6, -5, -3, 3, 4, 6, 12, 15]. So the median of the merged array is (-3 + 3) / 2 = 0.
Input: a[] = [2, 3, 5, 7], b[] = [10, 12, 14, 16]
Output: 8.5
Explanation: The merged array is [2, 3, 5, 7, 10, 12, 14, 16]. So the median of the merged array is (7 + 10) / 2 = 8.5.
Input: a[] = [-5], b[] = [-6]
Output: -5.5
Explanation: The merged array is [-6, -5]. So the median of the merged array is (-6 + -5) / 2 = -5.5.
Constraints:
1 ≤ a.size(), b.size() ≤ 106
-106 ≤ a[i], b[i] ≤ 106",O(log n),O(1),"['Amazon', 'Microsoft', 'Samsung', 'Google']","['Binary Search', 'Arrays']"
[],https://www.geeksforgeeks.org/problems/merge-k-sorted-arrays--151335/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:14:23.639792,GeeksforGeeks,Merge k Sorted Arrays,Medium,82.8%,377+,Not available,"Given k sorted arrays arranged in the form of a matrix arr[] of size k * k. The task is to merge them into one sorted array. Return the merged sorted array.
Examples :
Input: k = 3, arr[][] = [[1, 2, 3}, [4, 5, 6], [7, 8, 9]]
Output: [1, 2, 3, 4, 5, 6, 7, 8, 9]
Explanation: arr[][] has 3 sorted arrays of size 3, arr[][] = [[1, 2, 3],[4, 5, 6],[7, 8, 9]]. The merged list will be [1, 2, 3, 4, 5, 6, 7, 8, 9].
Input: k = 4, arr[][]= [[1, 2, 3, 4], [2, 2, 3, 4], [5, 5, 6, 6], [7, 8, 9, 9]]
Output: [1, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 9, 9]
Explanation: arr[][] has 4 sorted arrays of size 4, arr[][] = [[1, 2, 2, 2], [3, 3, 4, 4], [5, 5, 6, 6], [7, 8, 9, 9 ]]. The merged list will be [1, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 9, 9].
Constraints:
1 <= k <= 100",O(k^2*log(k)),O(k^2),"['VMWare', 'Flipkart', 'Amazon', 'Microsoft', 'Citrix']","['Arrays', 'Sorting', 'Heap', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/count-possible-triangles-1587115620--094125/1?page=1&company=Microsoft&sortBy=latest,2025-06-11T12:14:55.738082,GeeksforGeeks,Count the number of possible triangles,Medium,57.41%,216+,Not available,"Given an unsorted integer array arr[]. Find the number of triangles that can be formed with three different array elements as lengths of three sides of triangles.
A triangle with three given sides is only possible if sum of any two sides is always greater than the third side.
Example 1:
Input: arr[] = [3, 5, 4]
Output: 1
Explanation: A triangle is possible with all the elements 5, 3 and 4 (5+3>4, 5+4>3, 3+4>5)
Input: arr[] = [6, 4, 9, 7, 8]
Output: 10
Explanation: There are 10 triangles possible with the given elements like (6,4,9), (6,7,8),...
Constraints:
3 <= arr.size() <= 103
1 <= arr[i] <= 103",O(n^2),O(1),"['Amazon', 'Microsoft']","['Arrays', 'Sorting', 'Data Structures', 'Algorithms']"
